source,target,weight
ITU M.3400,ITU M.3400,5
ITU M.3400,ITU M.3010,7
ITU M.3400,ITU M.3020,4
ITU M.3400,ITU M.3000,1
ITU M.3400,ITU M.3100,1
ITU M.3400,ITU M.3180,1
ITU M.3400,ITU M.3200,2
ITU M.3400,ITU M.20,4
ITU M.3400,ITU M.3208.1,1
ITU M.3400,ITU M.3211.1,1
ITU M.3400,ITU X.700,1
ITU M.3400,ITU X.701,1
ITU M.3400,ITU X.730,1
ITU M.3400,ITU X.731,2
ITU M.3400,ITU X.732,1
ITU M.3400,ITU X.733,1
ITU M.3400,ITU X.734,1
ITU M.3400,ITU X.735,1
ITU M.3400,ITU X.736,1
ITU M.3400,ITU X.737,1
ITU M.3400,ITU X.738,1
ITU M.3400,ITU X.739,1
ITU M.3400,ITU X.740,1
ITU M.3400,ITU X.741,1
ITU M.3400,ITU X.742,1
ITU M.3400,ITU X.745,1
ITU M.3400,ITU X.800,2
ITU M.3400,ISO 7498-4,1
ITU M.3400,ISO 10040,1
ITU M.3400,ISO 10164-1,1
ITU M.3400,ISO 10164-2,1
ITU M.3400,ISO 10164-3,1
ITU M.3400,ISO 10164-4,1
ITU M.3400,ISO 10164-5,1
ITU M.3400,ISO 10164-6,1
ITU M.3400,ISO 10164-7,1
ITU M.3400,ISO 10164-14,1
ITU M.3400,ISO 10164-13,1
ITU M.3400,ISO 10164-11,1
ITU M.3400,ISO 10164-8,1
ITU M.3400,ISO 10164-9,1
ITU M.3400,ISO 10164-10,1
ITU M.3400,ISO 10164-12,1
ITU M.3400,ISO 7498-2,1
ITU M.20,ITU M.20,1
ITU M.20,ITU Q.22,1
ITU M.20,ITU G.821,1
ITU M.20,ITU G.752,1
ITU M.20,ITU G.704,1
ITU M.20,ITU G.732,1
ITU M.20,ITU G.733,1
ITU M.20,ITU M.60,1
ITU M.20,ITU M.70,1
ITU M.20,ITU M.710,1
ITU M.20,ITU M.80,1
ITU M.20,ITU M.90,1
ITU M.20,ITU M.21,1
ITU M.20,ITU M.3010,1
ITU M.20,ITU M.2100,1
ITU M.20,ITU M.34,1
ITU M.20,ITU M.4030,1
ITU M.20,ITU M.4100,1
ITU M.20,ITU M.2110,1
ITU M.20,ITU M.1550,1
ITU M.20,ITU M.1560,1
ITU M.20,ITU M.1000,1
ITU G.733,ITU G.733,1
ITU G.821,ITU G.821,1
ITU G.821,ITU G.102,1
ITU G.821,ITU G.801,1
ITU G.821,ITU G.826,1
ITU G.821,ITU I.325,1
ITU G.821,ITU I.340,1
ITU G.821,ITU G.921,1
ITU G.102,ITU G.102,1
ITU G.826,ITU G.826,1
ITU G.826,ITU G.703,1
ITU G.826,ITU G.704,1
ITU G.826,ITU G.707,1
