source,target
RFC 2119,RFC 2119
ITU G.702,ITU G.707
ITU E.105,ITU E.106
ISO 7498-1,ITU X.200
ITU G.726,ITU H.248.1
ITU H.248,ITU H.248.1
ISO 8824-1,ITU X.680
ITU G.822,ITU G.803
ITU I.321,ITU G.805
ITU X.680,ISO 8824-1
ITU X.200,ISO 8824-1
ISO 10646,ISO 8824-1
ITU E.164,ISO 8348
ITU H.248.1,ITU H.323
RFC 854,RFC 2579
ITU G.707,ITU G.805
ISO 8824-2,ISO 8824-1
RFC 791,ITU H.248.1
ISO 8824-3,ISO 8824-1
ITU X.682,ISO 8824-1
ISO 8824-4,ISO 8824-1
ITU Y.101,ITU Y.2012
RFC 868,RFC 1305
ITU X.681,ISO 8824-1
ITU G.805,ITU G.783
RFC 822,ITU X.509
ITU G.652,ITU G.957
RFC 542,RFC 683
ITU Q.551,ITU G.812
ISO 11579-1,ISO 11571
RFC 11,RFC 22
RFC 1186,RFC 1320
ISO 8208,ITU Q.2931
RFC 1321,RFC 3261
ITU G.957,ITU G.707
ITU E.213,ITU E.164
ITU G.223,ITU P.56
ISO 2110,ITU V.24
ITU E.165,ITU X.121
ITU K.27,ITU G.703
ITU Q.71,ISO 11574
ITU X.683,ISO 8824-1
RFC 793,ITU H.323
ITU G.783,ITU G.707
ISO 8825,ISO 8824-1
ITU E.141,ITU Q.764
ITU F.850,ITU E.212
ITU G.703,ITU G.707
RFC 2778,RFC 2779
ITU I.361,ITU G.805
ITU A.12,ITU A.11
ITU K.20,ITU K.27
ITU X.509,RFC 1321
RFC 1071,RFC 1812
RFC 888,RFC 1700
RFC 827,RFC 1812
ISO 8072,ISO 8824-1
ITU P.52,ITU P.56
ISO 2022,ISO 8824-1
RFC 3261,ITU Y.2111
ISO 8348,ITU H.248.1
RFC 495,RFC 562
RFC 1149,RFC 2223
ITU E.412,ITU Q.764
ITU K.46,ITU K.20
ITU M.3010,ITU G.783
RFC 969,RFC 1700
RFC 768,RFC 3261
RFC 2026,RFC 5741
ITU Q.2931,ITU H.248.1
ITU G.820,ITU I.351
ITU A.13,ITU A.1
ITU E.170,ITU Q.2764
ITU G.671,ITU G.691
RFC 1363,RFC 1633
ITU G.733,ITU G.703
ISO 7498-4,ITU X.200
ITU G.851.1,ITU G.852.2
ITU O.3,ITU O.172
ITU X.210,ISO 8348
ITU E.172,ITU Q.764
RFC 2205,ITU Y.2111
ITU X.25,ITU H.248.1
RFC 764,RFC 790
ITU X.800,ITU X.509
ISO 10731,ITU X.200
ITU Z.100,ITU H.323
RFC 1014,RFC 1057
ITU G.803,ITU G.707
ITU T.50,ISO 8208
ITU G.709,ITU G.707
ITU E.122,ITU E.121
ITU E.181,ITU E.121
RFC 2144,RFC 2612
ITU K.11,ITU K.20
RFC 360,RFC 407
ITU G.959.1,ITU G.652
ITU G.691,ITU G.707
ISO 7498-2,ITU X.200
ITU M.34,ITU M.20
ITU K.83,ITU K.100
ITU I.240,ITU Q.931
RFC 674,RFC 1000
ITU P.36,ITU K.7
ITU G.711,ITU H.248.1
