source,target,source_color,target_color
ITU E.164,ITU E.164,#B54343,#B54343
ITU E.164,ITU E.168,#B54343,#7C43B5
ITU E.164,ITU E.101,#B54343,#7C43B5
ITU E.164,ITU E.123,#B54343,#7C43B5
ITU E.164,ITU E.129,#B54343,#7C43B5
ITU E.164,ITU E.131,#B54343,#7C43B5
ITU E.164,ITU E.164.1,#B54343,#7C43B5
ITU E.164,ITU E.164.2,#B54343,#7C43B5
ITU E.164,ITU E.164.3,#B54343,#7C43B5
ITU E.164,ITU E.166,#B54343,#7C43B5
ITU E.164,ITU E.169,#B54343,#7C43B5
ITU E.164,ITU E.169.1,#B54343,#7C43B5
ITU E.164,ITU E.169.2,#B54343,#7C43B5
ITU E.164,ITU E.169.3,#B54343,#7C43B5
ITU E.164,ITU E.190,#B54343,#7C43B5
ITU E.164,ITU E.191,#B54343,#7C43B5
ITU E.164,ITU E.213,#B54343,#7C43B5
ITU E.164,ITU E.214,#B54343,#7C43B5
ITU E.164,ITU E.331,#B54343,#7C43B5
ITU E.164,ITU E.29,#B54343,#7C43B5
ITU E.164,ITU E.161,#B54343,#7C43B5
ITU E.164,ITU E.163,#B54343,#7C43B5
ITU E.164,ITU E.160,#B54343,#7C43B5
