source,target,source_color,target_color
ITU G.707,ITU G.707,#B54343,#B54343
ITU G.707,ITU G.691,#B54343,#7C43B5
ITU G.707,ITU G.702,#B54343,#7C43B5
ITU G.707,ITU G.703,#B54343,#7C43B5
ITU G.707,ITU G.704,#B54343,#7C43B5
ITU G.707,ITU G.709,#B54343,#7C43B5
ITU G.707,ITU G.780,#B54343,#7C43B5
ITU G.707,ITU G.783,#B54343,#7C43B5
ITU G.707,ITU G.7041,#B54343,#7C43B5
ITU G.707,ITU G.7042,#B54343,#7C43B5
ITU G.707,ITU G.802,#B54343,#7C43B5
ITU G.707,ITU G.803,#B54343,#7C43B5
ITU G.707,ITU G.806,#B54343,#7C43B5
ITU G.707,ITU G.831,#B54343,#7C43B5
ITU G.707,ITU G.841,#B54343,#7C43B5
ITU G.707,ITU G.957,#B54343,#7C43B5
ITU G.707,ITU G.984.3,#B54343,#7C43B5
ITU G.707,ITU G.991.2,#B54343,#7C43B5
ITU G.707,ITU I.432.1,#B54343,#7C43B5
ITU G.707,ITU I.432.2,#B54343,#7C43B5
ITU G.707,ITU O.181,#B54343,#7C43B5
ITU G.707,ITU Q.921,#B54343,#7C43B5
ITU G.707,ITU F.750-4,#B54343,#7C43B5
ITU G.707,ITU S.1149-2,#B54343,#7C43B5
ITU G.707,ITU F.750,#B54343,#7C43B5
ITU G.707,ITU X.85,#B54343,#7C43B5
ITU G.707,RFC 1661,#B54343,#7C43B5
ITU G.707,RFC 1662,#B54343,#7C43B5
ITU G.707,ISO 3309,#B54343,#7C43B5
ITU G.707,ISO 9314-1,#B54343,#7C43B5
ITU G.707,ISO 9314-2,#B54343,#7C43B5
ITU G.707,ISO 9314-3,#B54343,#7C43B5
ITU G.707,ISO 9314-4,#B54343,#7C43B5
ITU G.707,ISO 9314-5,#B54343,#7C43B5
ITU G.707,ISO 9314-6,#B54343,#7C43B5
ITU G.707,ISO 9314-7,#B54343,#7C43B5
ITU G.707,ISO 9314-8,#B54343,#7C43B5
