source,target,source_color,target_color
ITU G.992.3,ITU G.992.3,#B54343,#B54343
ITU G.992.3,ITU G.961,#B54343,#7C43B5
ITU G.992.3,ITU G.994.1,#B54343,#43B5B5
ITU G.992.3,ITU G.996.1,#B54343,#7C43B5
ITU G.992.3,ITU G.997.1,#B54343,#7C43B5
ITU G.992.3,ITU O.42,#B54343,#7C43B5
ITU G.992.3,ITU I.361,#B54343,#7C43B5
ITU G.992.3,ITU I.432.1,#B54343,#7C43B5
ITU G.992.3,ITU G.993.1,#B54343,#7C43B5
ITU G.992.3,ITU G.995.1,#B54343,#7C43B5
ITU G.992.3,ITU O.41,#B54343,#7C43B5
ITU G.992.3,ITU V.11,#B54343,#7C43B5
ITU G.992.3,ITU K.20,#B54343,#7C43B5
ITU G.992.3,ITU K.21,#B54343,#7C43B5
ITU G.992.3,ITU G.712,#B54343,#7C43B5
ITU G.992.3,ITU Q.552,#B54343,#7C43B5
ITU G.992.3,ITU G.121,#B54343,#7C43B5
ITU G.992.3,ISO 8601,#B54343,#7C43B5
