source,target,source_color,target_color
ITU G.707,ITU G.707,#B54343,#B54343
ITU G.7712,ITU G.7712,#43B5B5,#43B5B5
ITU G.7712,ITU G.707,#43B5B5,#B54343
ITU G.7712,ITU G.8081,#43B5B5,#43B5B5
ITU G.7712,ITU M.3010,#43B5B5,#B54343
ITU G.7712,ITU Q.811,#43B5B5,#43B5B5
ITU G.7712,ITU Q.812,#43B5B5,#43B5B5
ITU G.7712,ITU G.805,#43B5B5,#B54343
ITU E.164,ITU E.164,#B54343,#B54343
ITU G.805,ITU G.805,#B54343,#B54343
ITU G.805,ITU G.707,#B54343,#B54343
ITU G.805,ITU X.200,#B54343,#B54343
ITU G.805,ISO 7498-1,#B54343,#B54343
ITU E.360.1,ITU E.360.1,#43B5B5,#43B5B5
ITU E.360.1,ITU E.164,#43B5B5,#B54343
ITU E.360.1,ITU H.225.0,#43B5B5,#43B5B5
ITU E.360.1,ITU H.245,#43B5B5,#43B5B5
ITU E.360.1,ITU H.323,#43B5B5,#43B5B5
ITU E.360.1,ITU Q.2761,#43B5B5,#43B5B5
ITU G.100,ITU P.10,#43B5B5,#43B5B5
ITU G.100,ITU G.711,#43B5B5,#B54343
ITU G.161,ITU G.161,#43B5B5,#43B5B5
ITU G.161,ITU G.711,#43B5B5,#B54343
ITU G.161,ITU G.799.1,#43B5B5,#43B5B5
ITU G.161,ITU T.38,#43B5B5,#43B5B5
ITU G.799.1,ITU G.799.1,#43B5B5,#43B5B5
ITU G.799.1,ITU G.707,#43B5B5,#B54343
ITU G.799.1,ITU G.711,#43B5B5,#B54343
ITU G.799.1,ITU H.248.1,#43B5B5,#7DB643
ITU G.799.1,ITU T.38,#43B5B5,#43B5B5
ITU G.799.1,ITU X.509,#43B5B5,#43B5B5
ITU G.799.1,ITU Y.1451.1,#43B5B5,#43B5B5
ITU G.799.1,ITU H.323,#43B5B5,#43B5B5
ITU G.8081,ITU G.8081,#43B5B5,#43B5B5
ITU G.8081,ITU G.805,#43B5B5,#B54343
ITU G.8081,ITU G.7712,#43B5B5,#43B5B5
ITU G.8081,ITU M.3010,#43B5B5,#B54343
ITU G.984.4,ITU G.984.4,#43B5B5,#43B5B5
ITU G.984.4,ITU G.707,#43B5B5,#B54343
ITU G.984.4,ITU G.711,#43B5B5,#B54343
ITU G.984.4,ITU T.38,#43B5B5,#43B5B5
ITU G.988,ITU G.988,#43B5B5,#43B5B5
ITU G.988,ITU E.164,#43B5B5,#B54343
ITU G.988,ITU G.984.4,#43B5B5,#43B5B5
ITU G.988,ITU G.9807.1,#43B5B5,#43B5B5
ITU G.988,ITU T.38,#43B5B5,#43B5B5
ITU G.9807.1,ITU G.9807.1,#43B5B5,#43B5B5
ITU G.9807.1,ITU G.988,#43B5B5,#43B5B5
ITU G.9807.1,ITU Y.2201,#43B5B5,#43B5B5
ITU G.9807.1,ITU G.711,#43B5B5,#B54343
ITU G.9807.1,ITU G.984.4,#43B5B5,#43B5B5
ITU H.222.0,ITU H.222.0,#43B5B5,#43B5B5
ITU H.225.0,ITU H.225.0,#43B5B5,#43B5B5
ITU H.225.0,ITU G.711,#43B5B5,#B54343
ITU H.225.0,ITU H.245,#43B5B5,#43B5B5
ITU H.225.0,ITU T.123,#43B5B5,#43B5B5
ITU H.225.0,ITU H.324,#43B5B5,#43B5B5
ITU H.225.0,ITU Q.931,#43B5B5,#43B5B5
ITU H.225.0,ITU X.680,#43B5B5,#B54343
ITU H.225.0,ITU E.164,#43B5B5,#B54343
ITU H.225.0,ITU H.248.1,#43B5B5,#7DB643
ITU H.225.0,ITU H.323,#43B5B5,#43B5B5
ITU H.225.0,ISO 8824-1,#43B5B5,#B54343
ITU H.245,ITU H.245,#43B5B5,#43B5B5
ITU H.245,ITU H.222.0,#43B5B5,#43B5B5
ITU H.245,ITU H.225.0,#43B5B5,#43B5B5
ITU H.245,ITU E.164,#43B5B5,#B54343
ITU H.245,ITU G.711,#43B5B5,#B54343
ITU H.245,ITU H.323,#43B5B5,#43B5B5
ITU H.245,ITU H.324,#43B5B5,#43B5B5
ITU H.245,ITU T.38,#43B5B5,#43B5B5
ITU H.245,ITU T.123,#43B5B5,#43B5B5
ITU H.245,ITU X.680,#43B5B5,#B54343
ITU H.245,ITU Q.931,#43B5B5,#43B5B5
ITU H.245,ITU X.400,#43B5B5,#43B5B5
ITU H.245,ISO 8824-1,#43B5B5,#B54343
ITU H.248.1,ITU H.248.1,#7DB643,#7DB643
ITU H.248.1,ITU H.225.0,#7DB643,#43B5B5
ITU H.248.1,ITU H.245,#7DB643,#43B5B5
ITU H.248.1,ITU H.323,#7DB643,#43B5B5
ITU H.248.1,ITU Q.931,#7DB643,#43B5B5
ITU H.248.1,ITU X.680,#7DB643,#B54343
ITU H.248.1,ITU H.324,#7DB643,#43B5B5
ITU H.248.1,ITU G.711,#7DB643,#B54343
ITU H.248.1,ISO 8824-1,#7DB643,#B54343
ITU H.323,ITU H.323,#43B5B5,#43B5B5
ITU H.323,ITU H.324,#43B5B5,#43B5B5
ITU H.323,ITU H.225.0,#43B5B5,#43B5B5
ITU H.323,ITU H.245,#43B5B5,#43B5B5
ITU H.323,ITU G.711,#43B5B5,#B54343
ITU H.323,ITU Q.931,#43B5B5,#43B5B5
ITU H.323,ITU E.164,#43B5B5,#B54343
ITU H.323,ITU H.248.1,#43B5B5,#7DB643
ITU H.323,ITU H.222.0,#43B5B5,#43B5B5
ITU H.323,ITU T.38,#43B5B5,#43B5B5
ITU H.323,ITU T.123,#43B5B5,#43B5B5
ITU H.323,ITU X.680,#43B5B5,#B54343
ITU H.323,ISO 8824-1,#43B5B5,#B54343
ITU H.324,ITU H.324,#43B5B5,#43B5B5
ITU H.324,ITU H.245,#43B5B5,#43B5B5
ITU H.324,ITU G.711,#43B5B5,#B54343
ITU H.324,ITU E.164,#43B5B5,#B54343
ITU H.324,ITU H.323,#43B5B5,#43B5B5
ITU H.324,ITU Q.931,#43B5B5,#43B5B5
ITU H.324,ITU T.123,#43B5B5,#43B5B5
ITU H.324,ITU X.680,#43B5B5,#B54343
ITU H.324,ISO 8824-1,#43B5B5,#B54343
ITU I.732,ITU I.732,#43B5B5,#43B5B5
