source,target,weight,source_color,target_color
ITU G.799.1,ITU H.248,23,#7C43B5,#B54343
ITU G.983.2,ITU G.992.3,1,#7C43B5,#B54343
ITU G.983.2,ITU G.992.5,1,#7C43B5,#B54343
ITU G.983.2,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.984.4,ITU G.992.3,53,#7C43B5,#B54343
ITU G.984.4,ITU G.992.5,33,#7C43B5,#B54343
ITU G.984.4,ITU G.994.1,11,#7C43B5,#43B5B5
ITU G.984.4,ITU H.248,3,#7C43B5,#B54343
ITU G.987.1,ITU H.248,3,#7C43B5,#B54343
ITU G.988,ITU G.992.3,99,#7C43B5,#B54343
ITU G.988,ITU G.992.5,64,#7C43B5,#B54343
ITU G.988,ITU G.994.1,20,#7C43B5,#43B5B5
ITU G.988,ITU H.248,36,#7C43B5,#B54343
ITU G.9701,ITU G.994.1,125,#7C43B5,#43B5B5
ITU G.9807.1,ITU G.992.5,3,#7C43B5,#B54343
ITU G.9807.1,ITU H.248,5,#7C43B5,#B54343
ITU G.989.1,ITU G.992.5,3,#7C43B5,#B54343
ITU G.991.2,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.992.1,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.992.2,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.992.3,ITU G.992.3,1,#B54343,#B54343
ITU G.992.3,ITU G.994.1,1,#B54343,#43B5B5
ITU G.992.4,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.992.4,ITU G.992.3,1,#7C43B5,#B54343
ITU G.992.5,ITU G.992.5,1,#B54343,#B54343
ITU G.992.5,ITU G.994.1,1,#B54343,#43B5B5
ITU G.992.5,ITU G.992.3,1,#B54343,#B54343
ITU G.993.1,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.993.2,ITU G.992.3,22,#7C43B5,#B54343
ITU G.993.2,ITU G.992.5,9,#7C43B5,#B54343
ITU G.993.2,ITU G.994.1,149,#7C43B5,#43B5B5
ITU G.993.5,ITU G.994.1,63,#7C43B5,#43B5B5
ITU G.993.5,ITU G.992.3,1,#7C43B5,#B54343
ITU G.994.1,ITU G.992.3,3372,#43B5B5,#B54343
ITU G.994.1,ITU G.992.5,3386,#43B5B5,#B54343
ITU G.994.1,ITU G.994.1,182,#43B5B5,#43B5B5
ITU G.995.1,ITU G.994.1,13,#7C43B5,#43B5B5
ITU G.9953,ITU G.992.5,1,#7C43B5,#B54343
ITU G.997.1,ITU G.992.3,183,#7C43B5,#B54343
ITU G.997.1,ITU G.992.5,136,#7C43B5,#B54343
ITU G.997.1,ITU G.994.1,41,#7C43B5,#43B5B5
ITU G.997.2,ITU G.994.1,20,#7C43B5,#43B5B5
ITU G.998.1,ITU G.992.3,1,#7C43B5,#B54343
ITU G.998.1,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.998.2,ITU G.992.3,1,#7C43B5,#B54343
ITU G.998.2,ITU G.992.5,1,#7C43B5,#B54343
ITU G.998.2,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.998.3,ITU G.992.3,1,#7C43B5,#B54343
ITU G.998.3,ITU G.994.1,1,#7C43B5,#43B5B5
ITU G.998.4,ITU G.992.3,71,#7C43B5,#B54343
ITU G.998.4,ITU G.992.5,34,#7C43B5,#B54343
ITU G.998.4,ITU G.994.1,24,#7C43B5,#43B5B5
ITU G.999.1,ITU G.992.3,4,#7C43B5,#B54343
ITU G.999.1,ITU G.992.5,3,#7C43B5,#B54343
ITU H.248,ITU H.248,1,#B54343,#B54343
ITU H.248.1,ITU H.248,122,#7C43B5,#B54343
ITU H.248.11,ITU H.248,13,#7C43B5,#B54343
ITU H.248.4,ITU H.248,1,#7C43B5,#B54343
ITU H.323,ITU H.248,5,#7C43B5,#B54343
ITU I.732,ITU G.994.1,1,#7C43B5,#43B5B5
ITU H.248.2,ITU H.248,6,#7C43B5,#B54343
ITU J.282,ITU G.992.5,3,#7C43B5,#B54343
ITU K.48,ITU G.992.3,1,#7C43B5,#B54343
ITU K.48,ITU G.992.5,1,#7C43B5,#B54343
ITU K.74,ITU G.992.3,1,#7C43B5,#B54343
ITU K.93,ITU G.992.3,1,#7C43B5,#B54343
ITU K.93,ITU G.992.5,1,#7C43B5,#B54343
ITU M.1400,ITU G.994.1,3,#7C43B5,#43B5B5
ITU Q.115.0,ITU H.248,1,#7C43B5,#B54343
ITU Q.1741.2,ITU H.248,1,#7C43B5,#B54343
ITU Q.1741.3,ITU H.248,1,#7C43B5,#B54343
ITU Q.1741.9,ITU H.248,13,#7C43B5,#B54343
ITU Q.1912.5,ITU H.248,2,#7C43B5,#B54343
ITU T.38,ITU H.248,45,#7C43B5,#B54343
ITU G.799.3,ITU H.248,19,#7C43B5,#B54343
ITU Q.3303.2,ITU H.248,119,#7C43B5,#B54343
ITU H.248.36,ITU H.248,7,#7C43B5,#B54343
ITU H.248.40,ITU H.248,10,#7C43B5,#B54343
ITU H.248.41,ITU H.248,14,#7C43B5,#B54343
