source,target,weight,source_color,target_color
ITU G.992.3,ITU G.992.3,1,#B54343,#B54343
ITU G.992.3,ITU G.961,1,#B54343,#7C43B5
ITU G.992.3,ITU G.994.1,1,#B54343,#43B5B5
ITU G.992.3,ITU G.996.1,1,#B54343,#7C43B5
ITU G.992.3,ITU G.997.1,1,#B54343,#7C43B5
ITU G.992.3,ITU O.42,1,#B54343,#7C43B5
ITU G.992.3,ITU I.361,1,#B54343,#7C43B5
ITU G.992.3,ITU I.432.1,1,#B54343,#7C43B5
ITU G.992.3,ITU G.993.1,1,#B54343,#7C43B5
ITU G.992.3,ITU G.995.1,1,#B54343,#7C43B5
ITU G.992.3,ITU O.41,1,#B54343,#7C43B5
ITU G.992.3,ITU V.11,1,#B54343,#7C43B5
ITU G.992.3,ITU K.20,1,#B54343,#7C43B5
ITU G.992.3,ITU K.21,1,#B54343,#7C43B5
ITU G.992.3,ITU G.712,1,#B54343,#7C43B5
ITU G.992.3,ITU Q.552,1,#B54343,#7C43B5
ITU G.992.3,ITU G.121,1,#B54343,#7C43B5
ITU G.992.3,ISO 8601,3,#B54343,#7C43B5
ITU G.992.5,ITU G.992.5,1,#B54343,#B54343
ITU G.992.5,ITU G.961,1,#B54343,#7C43B5
ITU G.992.5,ITU G.994.1,1,#B54343,#43B5B5
ITU G.992.5,ITU G.996.1,1,#B54343,#7C43B5
ITU G.992.5,ITU G.997.1,1,#B54343,#7C43B5
ITU G.992.5,ITU G.992.3,1,#B54343,#B54343
ITU G.992.5,ITU G.995.1,1,#B54343,#7C43B5
ITU G.994.1,ITU G.99,4,#43B5B5,#7C43B5
ITU G.994.1,ITU G.995.1,1,#43B5B5,#7C43B5
ITU G.994.1,ITU G.991.2,452,#43B5B5,#7C43B5
ITU G.994.1,ITU G.992.1,151,#43B5B5,#7C43B5
ITU G.994.1,ITU G.992.2,51,#43B5B5,#7C43B5
ITU G.994.1,ITU G.992.3,3372,#43B5B5,#B54343
ITU G.994.1,ITU G.992.5,3386,#43B5B5,#B54343
ITU G.994.1,ITU G.993.1,76,#43B5B5,#7C43B5
ITU G.994.1,ITU G.993.2,92,#43B5B5,#7C43B5
ITU G.994.1,ITU G.997.1,15,#43B5B5,#7C43B5
ITU G.994.1,ITU G.9701,69,#43B5B5,#7C43B5
ITU G.994.1,ITU T.35,5,#43B5B5,#7C43B5
ITU G.994.1,ITU G.994.1,182,#43B5B5,#43B5B5
ITU G.994.1,ITU G.992.4,988,#43B5B5,#7C43B5
ITU G.994.1,ITU G.99.2,5,#43B5B5,#7C43B5
ITU G.994.1,ITU G.993.5,8,#43B5B5,#7C43B5
ITU G.994.1,ITU G.998.4,4,#43B5B5,#7C43B5
ITU G.994.1,ITU G.961,1,#43B5B5,#7C43B5
ITU G.994.1,ISO 3309,5,#43B5B5,#7C43B5
ITU H.248,ITU H.248,1,#B54343,#B54343
