source,target,source_color,target_color
itu/G.805/2000_03_0_en..pdf,itu/G.805/2000_03_0_en..pdf,#B54343,#B54343
itu/G.805/2000_03_0_en..pdf,itu/G.702/1988_11_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/G.703/1998_10_1_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/G.707/1996_03_1_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/I.320/1993_11_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/I.321/1991_04_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/I.324/1991_10_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/I.340/1988_11_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/I.361/1999_02_0_en..pdf,#B54343,#7C43B5
itu/G.805/2000_03_0_en..pdf,itu/X.200/1994_07_0_en..pdf,#B54343,#B54343
itu/G.805/2000_03_0_en..pdf,ISOStandard: 7498-1,#B54343,#B54343
