source,target,source_color,target_color
itu/M.3010/2000_02_0_en..pdf,itu/X.700/1992_09_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/X.701/1997_08_0_en..pdf,#B54343,#43B5B5
itu/M.3010/2000_02_0_en..pdf,itu/X.703/1997_10_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/X.724/1996_10_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/X.720/1992_01_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/X.725/1995_11_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/X.290/1995_04_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.3013/2000_02_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.3020/2000_02_1_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.3200/1997_04_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.3400/2000_02_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/Q.811/1997_06_1_en..pdf,#B54343,#43B5B5
itu/M.3010/2000_02_0_en..pdf,itu/Q.812/1997_06_1_en..pdf,#B54343,#43B5B5
itu/M.3010/2000_02_0_en..pdf,itu/X.200/1994_07_0_en..pdf,#B54343,#B54343
itu/M.3010/2000_02_0_en..pdf,ITURecommendation: Q.82,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.3000/2000_02_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,itu/M.32/1988_11_0_en..pdf,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10040,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 13244,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-6,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-1,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-7,#B54343,#7C43B5
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 7498-1,#B54343,#B54343
