source,target,source_color,target_color
itu/X.208/1988_11_2_en..pdf,itu/X.208/1988_11_2_en..pdf,#B54343,#B54343
itu/X.208/1988_11_2_en..pdf,itu/T.61/1988_11_1_en..pdf,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 8824,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 7498,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 8825,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 8822,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 8823,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 2014,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 2375,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 3166,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 3307,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 4031,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 6523,#B54343,#7C43B5
itu/X.208/1988_11_2_en..pdf,ISOStandard: 8571,#B54343,#7C43B5
