source,target,source_color,target_color
iso/c068350_iso_iec_8824-1_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#B54343,#B54343
rfc/1700.txt,rfc/1700.txt,#43B5B5,#43B5B5
itu/H.245/2011_05_0_en..pdf,itu/H.245/2011_05_0_en..pdf,#43B5B5,#43B5B5
itu/H.245/2011_05_0_en..pdf,itu/H.323/2009_12_0_en..pdf,#43B5B5,#43B5B5
itu/H.245/2011_05_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#43B5B5,#B54343
rfc/1340.txt,rfc/1340.txt,#43B5B5,#43B5B5
itu/H.323/2009_12_0_en..pdf,itu/H.323/2009_12_0_en..pdf,#43B5B5,#43B5B5
itu/H.323/2009_12_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#43B5B5,#B54343
rfc/2828.txt,rfc/2828.txt,#43B5B5,#43B5B5
rfc/2828.txt,rfc/2119.txt,#43B5B5,#B54343
rfc/2828.txt,iso/s020269_iso_iec_7498-1_1994e.zip,#43B5B5,#B54343
rfc/2828.txt,iso/c068350_iso_iec_8824-1_2015.zip,#43B5B5,#B54343
itu/H.248.1/2013_03_0_en..pdf,itu/H.248.1/2013_03_0_en..pdf,#43B5B5,#43B5B5
itu/H.248.1/2013_03_0_en..pdf,itu/H.245/2011_05_0_en..pdf,#43B5B5,#43B5B5
itu/H.248.1/2013_03_0_en..pdf,itu/H.323/2009_12_0_en..pdf,#43B5B5,#43B5B5
itu/H.248.1/2013_03_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#43B5B5,#B54343
itu/Q.1741.9/2015_06_0_en..pdf,itu/Q.1741.9/2015_06_0_en..pdf,#43B5B5,#43B5B5
itu/Q.1741.9/2015_06_0_en..pdf,itu/H.245/2011_05_0_en..pdf,#43B5B5,#43B5B5
itu/Q.1741.9/2015_06_0_en..pdf,itu/H.248.1/2013_03_0_en..pdf,#43B5B5,#43B5B5
itu/Q.1741.9/2015_06_0_en..pdf,itu/H.323/2009_12_0_en..pdf,#43B5B5,#43B5B5
itu/Q.1741.9/2015_06_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#43B5B5,#B54343
itu/G.988/2012_10_1_en..pdf,itu/G.988/2012_10_1_en..pdf,#43B5B5,#43B5B5
itu/G.988/2012_10_1_en..pdf,rfc/1700.txt,#43B5B5,#43B5B5
itu/G.988/2017_11_0_en..pdf,itu/G.988/2017_11_0_en..pdf,#43B5B5,#43B5B5
itu/G.988/2017_11_0_en..pdf,itu/G.988/2012_10_1_en..pdf,#43B5B5,#43B5B5
itu/G.988/2017_11_0_en..pdf,rfc/1700.txt,#43B5B5,#43B5B5
rfc/4949.txt,rfc/2828.txt,#43B5B5,#43B5B5
rfc/4949.txt,rfc/2119.txt,#43B5B5,#B54343
rfc/4949.txt,rfc/4949.txt,#43B5B5,#43B5B5
rfc/4949.txt,iso/s020269_iso_iec_7498-1_1994e.zip,#43B5B5,#B54343
rfc/1000.txt,rfc/1000.txt,#43B5B5,#43B5B5
rfc/1000.txt,iso/s020269_iso_iec_7498-1_1994e.zip,#43B5B5,#B54343
