source,target,weight,source_color,target_color
itu/G.983.2/2005_07_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.983.2/2005_07_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.984.4/2008_02_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,53,#7C43B5,#B54343
itu/G.984.4/2008_02_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,33,#7C43B5,#B54343
itu/G.988/2010_10_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,76,#7C43B5,#B54343
itu/G.988/2010_10_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,54,#7C43B5,#B54343
itu/G.988/2017_11_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,99,#7C43B5,#B54343
itu/G.988/2017_11_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,64,#7C43B5,#B54343
itu/G.988/2017_11_0_en..pdf,itu/G.994.1/2017_04_1_en..pdf,20,#7C43B5,#43B5B5
itu/G.9701/2014_12_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,125,#7C43B5,#43B5B5
itu/G.9807.1/2016_06_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,2,#7C43B5,#B54343
itu/G.988/2012_10_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,91,#7C43B5,#B54343
itu/G.988/2012_10_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,65,#7C43B5,#B54343
itu/G.988/2012_10_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,17,#7C43B5,#43B5B5
itu/G.989.1/2013_03_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,2,#7C43B5,#B54343
itu/G.992.3/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.993.2/2006_02_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.993.2/2006_02_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.993.2/2015_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,22,#7C43B5,#B54343
itu/G.993.2/2015_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,9,#7C43B5,#B54343
itu/G.993.2/2015_01_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,148,#7C43B5,#43B5B5
itu/G.993.2/2011_12_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,22,#7C43B5,#B54343
itu/G.993.2/2011_12_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,10,#7C43B5,#B54343
itu/G.993.5/2015_01_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,62,#7C43B5,#43B5B5
itu/G.993.5/2015_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.993.5/2010_04_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.994.1/2007_02_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,2,#7C43B5,#B54343
itu/G.994.1/2007_02_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,2,#7C43B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3372,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.994.1/2017_04_1_en..pdf,181,#43B5B5,#43B5B5
itu/G.994.1/2012_06_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3371,#43B5B5,#B54343
itu/G.994.1/2012_06_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2012_06_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,180,#43B5B5,#43B5B5
itu/G.997.1/2005_09_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.997.1/2005_09_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.997.1/2006_06_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.997.1/2006_06_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.997.1/2009_04_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,86,#7C43B5,#B54343
itu/G.997.1/2009_04_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,47,#7C43B5,#B54343
itu/G.997.1/2016_11_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,183,#7C43B5,#B54343
itu/G.997.1/2016_11_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,136,#7C43B5,#B54343
itu/G.997.1/2016_11_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,40,#7C43B5,#43B5B5
itu/G.997.1/2012_06_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,183,#7C43B5,#B54343
itu/G.997.1/2012_06_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,136,#7C43B5,#B54343
itu/G.997.1/2012_06_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,40,#7C43B5,#43B5B5
itu/G.997.2/2015_05_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,20,#7C43B5,#43B5B5
itu/G.998.1/2005_01_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.998.2/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.998.2/2005_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.998.3/2005_01_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/G.998.4/2015_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,70,#7C43B5,#B54343
itu/G.998.4/2015_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,33,#7C43B5,#B54343
itu/G.998.4/2015_01_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,24,#7C43B5,#43B5B5
itu/G.998.4/2010_06_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,59,#7C43B5,#B54343
itu/G.998.4/2010_06_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,27,#7C43B5,#B54343
itu/G.998.4/2018_11_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,70,#7C43B5,#B54343
itu/G.998.4/2018_11_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,33,#7C43B5,#B54343
itu/G.998.4/2018_11_0_en..pdf,itu/G.994.1/2018_11_0_en..pdf,24,#7C43B5,#43B5B5
itu/G.994.1/2018_11_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3372,#43B5B5,#B54343
itu/G.994.1/2018_11_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2018_11_0_en..pdf,itu/G.994.1/2018_11_0_en..pdf,182,#43B5B5,#43B5B5
itu/G.999.1/2009_10_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3,#7C43B5,#B54343
itu/G.999.1/2009_10_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,2,#7C43B5,#B54343
itu/M.1400/2015_04_0_en..pdf,itu/G.994.1/2012_06_1_en..pdf,3,#7C43B5,#43B5B5
itu/M.1400/2013_03_1_en..pdf,itu/G.994.1/2012_06_1_en..pdf,3,#7C43B5,#43B5B5
itu/Q.1706/2006_11_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#7C43B5,#B54343
itu/J.282/2006_11_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3,#7C43B5,#B54343
itu/H.622.1/2008_10_0_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3,#7C43B5,#B54343
itu/H.622.1/2008_10_0_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3,#7C43B5,#B54343
