source,target,weight,source_color,target_color
itu/G.992.3/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.3/2005_01_1_en..pdf,itu/G.961/1993_03_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.994.1/2003_05_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.996.1/2001_02_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.997.1/2003_05_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/O.42/1988_11_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/I.361/1999_02_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/I.432.1/1999_02_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.993.1/2004_06_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.995.1/2001_02_2_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/O.41/1994_10_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/V.11/1996_10_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/K.20/2003_07_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/K.21/2003_07_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.712/2001_11_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/Q.552/2001_11_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,itu/G.121/1993_03_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.3/2005_01_1_en..pdf,ISOStandard: 8601,3,#B54343,#7C43B5
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.961/1993_03_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.5/2005_01_1_en..pdf,itu/G.994.1/2003_05_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.5/2005_01_1_en..pdf,itu/G.996.1/2001_02_0_en..pdf,1,#B54343,#7C43B5
itu/G.992.5/2005_01_1_en..pdf,itu/G.997.1/2003_05_1_en..pdf,1,#B54343,#7C43B5
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,1,#B54343,#B54343
itu/G.992.5/2005_01_1_en..pdf,itu/G.995.1/2001_02_2_en..pdf,1,#B54343,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,ITURecommendation: G.99,4,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.995.1/2001_02_2_en..pdf,1,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.991.2/2003_12_0_en..pdf,452,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.1/1999_07_0_en..pdf,151,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.2/1999_07_0_en..pdf,51,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,3372,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,3386,#43B5B5,#B54343
itu/G.994.1/2017_04_1_en..pdf,itu/G.993.1/2004_06_0_en..pdf,76,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.993.2/2015_01_1_en..pdf,85,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.997.1/2016_11_1_en..pdf,14,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.997.1/2006_06_1_en..pdf,1,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/T.35/2000_02_0_en..pdf,4,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/T.35/1991_01_1_en..pdf,1,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.994.1/2017_04_1_en..pdf,181,#43B5B5,#43B5B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.992.4/2002_07_0_en..pdf,988,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.9701/2014_12_1_en..pdf,67,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,ITURecommendation: G.99.2,5,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.993.5/2015_01_1_en..pdf,6,#43B5B5,#7C43B5
itu/G.994.1/2017_04_1_en..pdf,itu/G.998.4/2015_01_1_en..pdf,4,#43B5B5,#7C43B5
